index,genres,id,original_language,title
2729,Drama Thriller,21719,en,The Minus Man
2730,Comedy Drama Music,40879,en,Whiteboyz
2731,Adventure Drama Family,47951,ja,The Adventures of Milo and Otis
2732,Action Adventure Drama Romance,43832,en,Only Angels Have Wings
2733,Drama Romance,47697,en,Othello
2734,Comedy Drama,49792,en,Queens Logic
2735,Drama Thriller,77064,en,Public Access
2736,Drama Mystery War,26522,en,A Soldiers Story
2737,Horror Mystery Thriller,23761,en,Alice Sweet Alice
2738,Horror Thriller,24097,en,Dont Look in the Basement
2739,Science Fiction Horror,42114,en,Nightmares
2740,Horror Mystery Thriller,28295,en,I Saw What You Did
2741,Animation Fantasy Music,12105,en,Yellow Submarine
2742,Drama,14,en,American Beauty
2743,Documentary Music,24128,en,Stop Making Sense
2744,Action Comedy Crime,11001,en,Blue Streak
2745,Drama Romance,10390,en,For Love of the Game
2746,Drama History Romance,9453,en,Caligula
2747,Comedy Music,704,en,A Hard Days Night
2748,Comedy,35122,en,Splendor
2749,Comedy,142132,en,Sugar Town
2750,Drama,24153,en,The Buddy Holly Story
2751,Horror,11797,en,Fright Night
2752,Comedy Horror,18086,en,Fright Night Part 2
2753,Drama Foreign,124475,en,La séparation
2754,Comedy Romance,17887,en,Barefoot in the Park
2755,Drama Adventure Thriller,10669,en,Deliverance
2756,Fantasy Adventure,11527,en,Excalibur
2757,Drama Mystery Romance Thriller,42848,en,Lulu on the Bridge
2758,Comedy Music,40867,en,The Pajama Game
2759,Drama Thriller Mystery Romance,1049,en,Sommersby
2760,Animation Drama Family Fantasy,28032,en,Thumbelina
2761,Drama Music,11326,en,Tommy
2762,Horror,28377,en,Hell Night
2763,Action Adventure Crime Thriller,10975,cn,Armour of God II: Operation Condor
2764,Adventure Action Comedy,10974,cn,Armour of God
2765,Crime Drama Mystery Thriller,10398,en,Double Jeopardy
2766,Comedy Drama History,2290,en,Jakob the Liar
2767,Comedy Drama Romance,24071,en,Mumford
2768,Romance Comedy,62994,en,Dog Park
2769,Drama Romance,60994,en,Guinevere
2770,Family,16112,en,The Adventures of Elmo in Grouchland
2771,Action Comedy Thriller,32305,en,Simon Sez
2772,Drama Comedy Romance Family,14429,en,Drive Me Crazy
2773,Drama Comedy,15198,en,"Mystery, Alaska"
2774,Action Adventure Comedy,6415,en,Three Kings
2775,Comedy Crime,24066,en,"Happy, Texas"
2776,Drama Science Fiction Mystery,21430,en,New Rose Hotel
2777,Drama Action Comedy,10381,en,Plunkett & MacLeane
2778,Romance Drama Comedy,171982,en,Romance
2779,Action Adventure Drama Family,42486,en,Napoleon and Samantha
2780,Action War Western,60285,en,Alvarez Kelly
2781,Comedy Drama Foreign Music,5622,it,And the Ship Sails On
2782,Mystery Horror,10349,en,The Dark Half
2783,Action Adventure Animation Family,42518,en,Gullivers Travels
2784,Thriller Drama Horror Science Fiction,29787,en,Monkey Shines
2785,Horror Science Fiction,9638,en,Phantasm
2786,Horror Mystery Thriller,10576,en,Psycho II
2787,Horror Thriller,12662,en,Psycho III
2788,Drama,61369,en,Rain
2789,Drama Action Comedy,11712,ja,Sanjuro
2790,Drama Romance,12618,en,Random Hearts
2791,Comedy Family,13824,en,Superstar
2792,Crime Drama,226,en,Boys Dont Cry
2793,Documentary,288772,en,"Five Wives, Three Secretaries and Me"
2794,Drama Romance,55107,fr,Lennui
2795,Drama Foreign,69851,es,The Grandfather
2796,Action Crime Drama Mystery Thriller,10388,en,The Limey
2797,Comedy Romance Science Fiction,17198,en,The Mating Habits of the Earthbound Human
2798,Drama Comedy Romance,44857,en,Molly
2799,Comedy Romance,9346,en,Risky Business
2800,Action Adventure Science Fiction,861,en,Total Recall
2801,Drama Thriller Crime Romance,14412,en,Body Heat
2802,Comedy,9377,en,Ferris Buellers Day Off
2803,War Drama Romance,11541,en,The Year of Living Dangerously
2804,Drama Romance,2457,fr,Children of Paradise
2805,Western,11901,en,High Plains Drifter
2806,Western,4929,en,Hang em High
2807,Comedy,85325,en,Citizens Band
2808,Action Comedy,11230,cn,Drunken Master
2809,Drama,8416,it,The Conformist
2810,Comedy Family Music,11054,en,Hairspray
2811,Drama Romance,851,en,Brief Encounter
2812,Drama,24453,en,The Razors Edge
2813,Drama History,18254,en,Reds
2814,Documentary,56235,en,Return with Honor
2815,Drama Comedy Crime Fantasy,20123,sh,Time of the Gypsies
2816,Drama Romance,16642,en,Days of Heaven
2817,Drama,2593,fr,The Fire Within
2818,,42020,es,El Amor Brujo
2819,Comedy Romance,3086,en,The Lady Eve
2820,Adventure Comedy Drama Romance,16305,en,Sullivans Travels
2821,Comedy Romance,32255,en,The Palm Beach Story
2822,Mystery Science Fiction Drama,48797,es,Man Facing Southeast
2823,Crime Drama Thriller,19997,en,Niagara
2824,Drama Romance Thriller,3767,en,Gilda
2825,Music Romance War,17352,en,South Pacific
2826,Drama Music Romance,535,en,Flashdance
2827,Drama Romance,2731,fr,Indochine
2828,Action Adventure War,1654,en,The Dirty Dozen
2829,Drama Mystery Thriller,31043,en,Mikes Murder
2830,Comedy Music,14831,en,Help!
2831,Adventure Action Thriller,658,en,Goldfinger
2832,Action Thriller Adventure,657,en,From Russia with Love
2833,Adventure Action Thriller,646,en,Dr. No
2834,Romance Adventure Drama,5689,en,The Blue Lagoon
2835,Western,391,it,A Fistful of Dollars
2836,Drama Thriller,8052,en,Hard Eight
2837,Comedy Family Adventure Crime,772,en,Home Alone 2: Lost in New York
2838,Action Drama,65448,en,Penitentiary
2839,Action Thriller,65452,fr,Penitentiary II
2840,Crime Drama Romance Thriller,31650,en,Someone to Watch Over Me
2841,Drama,73575,en,Sparrows
2842,Drama,302579,en,Naturally Native
2843,Drama,550,en,Fight Club
2844,Drama History Documentary,97537,en,Beefcake
2845,Comedy Drama Romance,12220,en,The Story of Us
2846,Comedy Romance,1610,en,Fever Pitch
2847,Crime Drama,53151,en,Joe the King
2848,Comedy Drama,42881,en,Julien Donkey-Boy
2849,Horror Thriller,29064,en,The Omega Code
2850,Drama,404,en,The Straight Story
2851,Crime Drama Horror Thriller,42196,en,The Bad Seed
2852,Family Fantasy Science Fiction Adventure Comedy,36819,en,Time Bandits
2853,Drama Romance,42726,fr,A Man and a Woman
2854,Action Adventure Drama,9343,de,Fitzcarraldo
2855,Drama Music,16858,en,All That Jazz
2856,Drama War,42006,zh,Red Sorghum
2857,Comedy Drama,11562,en,Crimes and Misdemeanors
2858,Horror Thriller,10496,en,Bats
2859,Drama Comedy,16162,en,The Best Man
2860,Drama,8649,en,Bringing Out the Dead
2861,Comedy Drama,31306,en,Crazy in Alabama
2862,Comedy Romance,10563,en,Three to Tango
2863,Drama Romance,14484,en,Body Shots
2864,Comedy Drama,214735,en,Men Cry Bullets
2865,Documentary,94857,en,Brother Can You Spare A Dime
2866,Drama Horror Mystery Thriller,32043,en,The Guardian
2867,Thriller,15247,en,The Ipcress File
2868,Documentary,29251,en,On Any Sunday
2869,Action Thriller Science Fiction,5548,en,RoboCop
2870,Action Adventure Crime Science Fiction Thriller,5549,en,RoboCop 2
2871,Fantasy Animation Comedy Crime Family,856,en,Who Framed Roger Rabbit
2872,Comedy Drama,38772,en,Melvin and Howard
2873,Adventure Action Thriller,699,en,For Your Eyes Only
2874,Adventure Action Thriller,709,en,Licence to Kill
2875,Adventure Action Thriller,253,en,Live and Let Die
2876,Horror,13511,fr,Rawhead Rex
2877,Adventure Action Thriller,660,en,Thunderball
2878,Drama,46798,en,The City
2879,Horror Mystery Thriller,11377,en,House on Haunted Hill
2880,Drama,26149,en,Music of the Heart
2881,Fantasy Drama Comedy,492,en,Being John Malkovich
2882,Romance Drama,108346,en,Dreaming of Joseph Lees
2883,Romance Comedy,98480,en,Man Of The Century
2884,Adventure Fantasy Animation,128,ja,Princess Mononoke
2885,Comedy Drama,46286,en,The Suburbans
2886,Documentary,8672,de,My Best Fiend
2887,Drama Comedy War,8056,fr,Train of Life
2888,Comedy,2020,en,The Bachelor
2889,Drama Mystery Thriller Crime,9481,en,The Bone Collector
2890,Drama Thriller,9008,en,The Insider
2891,Documentary,14242,en,American Movie
2892,Romance Drama Science Fiction,16129,en,Last Night
2893,Drama Comedy,104103,fr,Portraits Chinois
2894,Drama,11489,fr,Rosetta
2895,Drama,28145,en,"They Shoot Horses, Dont They?"
2896,Drama Comedy,51371,en,Battling Butler
2897,Comedy Horror Science Fiction,18111,en,Bride of Re-Animator
2898,Adventure Comedy,31361,en,Bustin Loose
2899,Thriller Mystery Drama,11223,en,Coma
2900,Horror Comedy Fantasy,16281,en,Creepshow
2901,Horror,16288,en,Creepshow 2
2902,Science Fiction Comedy Horror,1694,en,Re-Animator
2903,Crime Drama,476,en,Drugstore Cowboy
2904,Crime Drama Thriller,37094,en,Falling Down
2905,Horror,13555,en,The Funhouse
2906,Action Adventure Comedy Drama,961,en,The General
2907,Drama Comedy Romance,73969,en,My Best Girl
2908,Horror,24831,en,Piranha
2909,Western,64963,en,Rough Night in Jericho
2910,Horror,85160,fr,Slaughterhouse
2911,Comedy Drama Romance,25560,en,The Taming of the Shrew
2912,Action Crime Thriller,21610,en,Nighthawks
2913,Drama Thriller,11878,ja,Yojimbo
2914,Comedy Horror,11510,en,Repossessed
2915,Action Science Fiction Thriller,11234,en,The Omega Man
2916,Comedy Science Fiction,957,en,Spaceballs
2917,Animation Family,11886,en,Robin Hood
2918,Comedy Drama Family War,37853,en,Mister Roberts
2919,Adventure Drama,62204,xx,Quest for Fire
2920,Adventure Western History,11040,en,Little Big Man
2921,Drama,21849,en,A Face in the Crowd
2922,Comedy,1621,en,Trading Places
2923,Comedy,14035,en,Meatballs
2924,Comedy,40771,en,Meatballs Part II
2925,Comedy,40772,en,Meatballs III: Summer Job
2926,Comedy,40773,en,Meatballs 4
2927,Thriller,11498,en,Dead Again
2928,Comedy Drama,11790,en,Peters Friends
2929,Comedy Drama Romance,29371,en,The Incredibly True Adventure of Two Girls In Love
2930,Comedy,276635,en,Experience Preferred...But Not Essential
2931,Comedy,47941,en,Under the Rainbow
2932,Comedy War,29048,en,How I Won the War
2933,Drama Thriller,19052,en,Light It Up
2934,Drama Comedy Romance,21349,en,Anywhere But Here
2935,Fantasy Comedy Adventure,1832,en,Dogma
2936,Adventure Drama Action History War,10047,fr,The Messenger: The Story of Joan of Arc
2937,Animation,10228,ja,Pokémon: The First Movie: Mewtwo Strikes Back
2938,Drama,47692,en,Felicias Journey
2939,Mystery Thriller Crime Drama,18561,en,Oxygen
2940,Comedy Mystery Thriller,144953,es,Wheres Marlowe?
2941,Drama Horror Science Fiction,37426,en,The Ape
2942,Action Adventure,51787,en,British Intelligence
2943,Comedy Drama Music,11663,en,The Commitments
2944,Comedy Drama Music Romance,13485,en,Holiday Inn
2945,Action Drama History War,9289,en,The Longest Day
2946,Thriller,9264,en,Poison Ivy
2947,Thriller Romance,18222,en,Poison Ivy: The New Seduction
2948,Drama Action,124853,en,Ten Benny
2949,History Action Drama Adventure War,11165,en,Tora! Tora! Tora!
2950,Comedy Drama,4203,es,Women on the Verge of a Nervous Breakdown
2951,Drama,24226,en,The Verdict
2952,Drama,88875,en,The Effect of Gamma Rays on Man-in-the-Moon Marigolds
2953,Comedy Science Fiction,11379,en,The Adventures of Buckaroo Banzai Across the 8th Dimension
2954,Drama,29154,en,Stand and Deliver
2955,Comedy Drama Romance,2039,en,Moonstruck
2956,Drama Romance,77915,fr,The Sandpiper
2957,Adventure Western,11943,en,Jeremiah Johnson
2958,Drama Horror Thriller,11481,en,Repulsion
2959,Comedy Romance,2690,en,Irma la Douce
2960,Documentary Foreign,20565,en,42 Up
2961,Drama,27141,en,Liberty Heights
2962,Drama Romance,10399,en,Mansfield Park
2963,Adventure Comedy Fantasy Science Fiction,90762,mk,"Goodbye, 20th Century"
2964,Drama Fantasy Thriller Mystery,2668,en,Sleepy Hollow
2965,Adventure Action Thriller,36643,en,The World Is Not Enough
2966,Comedy Drama,99,es,All About My Mother
2967,Documentary,159569,en,Home Page
2968,Horror,77010,fr,The Living Dead Girl
2969,Comedy,25898,en,Babes in Toyland
2970,Fantasy Comedy Drama,9647,en,Scrooged
2971,Comedy Drama,11787,en,Harvey
2972,Drama,5156,it,Bicycle Thieves
2973,Drama,24276,en,Matewan
2974,Action Drama History War,11953,ja,Kagemusha
2975,History Drama Action,44662,ja,47 Samurai
2976,Western,29005,en,McCabe & Mrs. Miller
2977,Drama Romance,26371,en,Maurice
2978,Drama,596,en,The Grapes of Wrath
2979,Comedy,52470,en,My Man Godfrey
2980,Comedy Romance,20334,en,The Shop Around the Corner
2981,Drama,11393,en,The Natural
2982,Comedy Drama Romance,31121,en,Shampoo
2983,Drama,293,en,A River Runs Through It
2984,Romance Drama Thriller Horror Mystery,10998,en,Fatal Attraction
2985,Mystery Thriller,12235,en,Jagged Edge
2986,Drama Romance,36094,en,Stanley & Iris
2987,Adventure Comedy Crime,9013,en,Midnight Run
2988,Drama,11005,en,Awakenings
2989,Drama Romance History,59820,en,Come See the Paradise
2990,Action Crime Drama Mystery Thriller,2924,en,Backdraft
2991,Comedy Drama,177,en,The Fisher King
2992,Drama,38557,en,The River
2993,Drama,42087,en,Country
2994,Drama Family,13681,en,Places in the Heart
2995,Drama,34760,en,"night, Mother"
2996,Action Fantasy Horror Mystery,9946,en,End of Days
2997,Animation Comedy Family,863,en,Toy Story 2
2998,Comedy Drama,31582,en,Flawless
2999,Drama,125520,en,Miss Julie
3000,Drama War Romance Western,22267,en,Ride with the Devil
3001,Comedy Drama,55123,en,Tumbleweeds
3002,Horror Thriller,5486,it,A Bay of Blood
3003,Comedy,10411,en,The Distinguished Gentleman
3004,Crime Thriller,41462,en,The Hitch-Hiker
3005,Action Western,1718,en,Santa Fe Trail
3006,,28604,en,Lauderdale
3007,Drama,15506,en,Agnes Browne
3008,Drama,20024,en,The End of the Affair
3009,Romance,78256,en,The End of the Affair
3010,Comedy Drama,13787,en,Holy Smoke!
3011,Drama,54933,en,A Map of the World
3012,Comedy Drama,9684,en,Sweet and Lowdown
3013,Comedy Drama,9586,en,The Bonfire of the Vanities
3014,,41638,en,Broadway Damage
3015,Drama Comedy,70801,en,Daddy-Long-Legs
3016,Comedy Western,33015,en,Go West
3017,Drama History War,777,fr,Grand Illusion
3018,Drama,21887,en,The Great Santini
3019,Documentary,5652,en,The James Dean Story
3020,War Action Thriller,19664,en,The Sea Wolves
3021,Drama Romance,32331,en,Stealing Home
3022,Action Adventure,76083,en,Tarzan the Fearless
3023,Drama Comedy,32628,en,Three Ages
3024,Crime Drama Mystery,32669,en,The Two Jakes
3025,Documentary Music,18161,en,U2: Rattle and Hum
3026,Drama War,31681,en,Hell in the Pacific
3027,Comedy Romance,33666,en,The Glass Bottom Boat
3028,Drama,32274,en,Cradle Will Rock
3029,Comedy,10402,en,Deuce Bigalow: Male Gigolo
3030,Fantasy Drama Crime,497,en,The Green Mile
3031,Drama,1715,en,The Cider House Rules
3032,Comedy Drama Mystery,35118,en,Diamonds
3033,Drama,42739,en,The War Zone
3034,Crime Drama Mystery Thriller,26162,en,The Bat Whispers
3035,Drama,25188,en,The Last Picture Show
3036,Action Adventure Family Fantasy,15515,en,The 7th Voyage of Sinbad
3037,Action Drama War,75888,en,Blood on the Sun
3038,Drama History Romance,1439,en,Anna and the King
3039,Comedy Science Fiction,2277,en,Bicentennial Man
3040,Animation Fantasy Family Comedy,10137,en,Stuart Little
3041,Drama History,10387,zh,The Emperor and the Assassin
3042,Animation Family Music,49948,en,Fantasia 2000
3043,Drama,334,en,Magnolia
3044,Drama Romance,30237,en,Onegin
3045,Comedy Drama,50116,en,Simpatico
3046,Comedy Drama Music,46435,en,Topsy-Turvy
3047,Drama Foreign,94260,en,The Alley Cats
3048,Drama Action Adventure Crime Thriller,22213,en,Boiling Point
3049,Adventure Fantasy,47070,en,Brenda Starr
3050,Drama,36492,en,Carnal Knowledge
3051,Adventure Drama,624,en,Easy Rider
3052,Thriller Drama Crime,26578,en,The Falcon and the Snowman
3053,Western,415072,en,Hi-Yo Silver
3054,Romance Drama,43103,en,Room at the Top
3055,Adventure,43194,en,Ulysses
3056,Drama,9563,en,Any Given Sunday
3057,Comedy Drama Romance,1850,en,Man on the Moon
3058,Comedy Family Science Fiction,926,en,Galaxy Quest
3059,Thriller Crime Drama,1213,en,The Talented Mr. Ripley
3060,Comedy,10471,en,Next Friday
3061,Drama,10400,en,The Hurricane
3062,Drama,10397,en,Angelas Ashes
3063,Comedy Drama,20761,en,Play It to the Bone
3064,Drama History Thriller,12524,en,Titus
3065,Documentary,28216,en,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr."
3066,Drama,36773,en,The Third Miracle
3067,Drama Action Comedy Crime,30814,en,Montana
3068,Drama Romance,10219,en,Snow Falling on Cedars
3069,Drama,3558,en,"Girl, Interrupted"
3070,Drama,104878,en,Trans
3071,Documentary Family,41276,en,The Life and Times of Hank Greenberg
3072,Comedy Drama Family,17908,en,My Dog Skip
3073,Horror Science Fiction Thriller,10384,en,Supernova
3074,Drama Foreign,125317,en,The Quarry
3075,Drama,48233,en,The Terrorist
3076,Drama Romance,10236,en,The Way We Were
3077,Romance Drama,71067,en,Tess of the Storm Country
3078,Comedy Drama War,632,en,Stalag 17
3079,Action Adventure Crime Drama Mystery Thriller,11851,en,The Presidio
3080,Crime Drama,5924,en,Papillon
3081,Comedy Music Romance,33734,en,Pal Joey
3082,Comedy Drama,14886,en,The Last Detail
3083,Drama,26617,en,Five Easy Pieces
3084,Comedy Drama,11900,de,Even Dwarfs Started Small
3085,Crime Thriller Horror Drama,10493,en,Dead Calm
3086,Horror Drama Thriller Science Fiction,16241,en,The Boys from Brazil
3087,Horror,27632,it,Black Sunday
3088,Action Adventure Crime Drama Mystery Romance Thriller,22160,en,Against All Odds
3089,Action Adventure Drama Romance,4460,en,The Snows of Kilimanjaro
3090,Comedy,9644,en,National Lampoons Loaded Weapon 1
3091,Drama Romance,43455,en,The Loves of Carmen
3092,Comedy,13342,en,Fast Times at Ridgemont High
3093,Drama,35119,en,A Cry in the Dark
3094,Comedy Crime Drama,21256,en,Born to Win
3095,Action Adventure Animation Family,14919,en,Batman: Mask of the Phantasm
3096,Drama,14040,en,American Flyers
3097,Drama,75641,en,Voyage of the Damned
3098,Horror,17343,es,Vampyros Lesbos
3099,Drama,22692,en,A Star Is Born
3100,Drama Horror Science Fiction,47620,en,Poison
3101,Crime Thriller,2990,en,Pacific Heights
3102,Thriller,38775,en,Night Tide
3103,Comedy Mystery Romance,10831,en,The Draughtsmans Contract
3104,Music Drama,21193,fr,Carmen
3105,Comedy Drama,33078,en,A Zed & Two Noughts
3106,Drama Thriller,16672,ja,Woman in the Dunes
3107,Comedy Drama Family Romance,10472,en,Down to You
3108,Music,123277,en,Hellhounds on My Trail: The Afterlife of Robert Johnson
3109,Comedy Drama Romance Thriller,79474,es,"Not Love, Just Frenzy"
3110,,97805,en,Wirey Spindell
3111,Crime Drama Thriller,53714,en,Another Mans Poison
3112,Drama Thriller,21489,en,The Odessa File
3113,Drama Comedy,51392,en,The Saphead
3114,Comedy Romance,32600,en,Seven Chances
3115,Comedy,110479,en,Smashing Time
3116,Fantasy Comedy,299121,en,Train Ride to Hollywood
3117,Comedy Drama,13005,en,Where the Buffalo Roam
3118,Western Action Comedy,65134,en,Zachariah
3119,Documentary Foreign,121738,en,Kestrels Eye
3120,Drama Mystery Thriller,18681,en,Eye of the Beholder
3121,Drama Comedy,75531,de,Isnt She Great
3122,Comedy Foreign,20468,en,The Big Tease
3123,Comedy,14521,bo,The Cup
3124,Drama Foreign Romance,46835,en,Santitos
3125,Comedy Family,10406,en,Encino Man
3126,Comedy Romance,14741,en,The Goodbye Girl
3127,Drama,32015,es,I Am Cuba
3128,Drama History,1883,en,Malcolm X
3129,Music Comedy,2005,en,Sister Act
3130,Music Comedy,6279,en,Sister Act 2: Back in the Habit
3131,Thriller,11087,en,The Hand that Rocks the Cradle
3132,Action Adventure Drama Thriller,7305,en,Alive
3133,Drama Mystery,24735,en,Agnes of God
3134,Drama,9475,en,Scent of a Woman
3135,Music Comedy,8872,en,Waynes World
3136,Music Comedy,8873,en,Waynes World 2
3137,Comedy,11287,en,A League of Their Own
3138,Drama Action Thriller Crime,9869,en,Patriot Games
3139,Thriller Action Drama Music Romance,619,en,The Bodyguard
3140,Fantasy Comedy,9374,en,Death Becomes Her
3141,Adventure Drama Romance Western,11259,en,Far and Away
3142,Drama Romance,8293,en,Howards End
3143,Comedy Drama Romance,11068,en,Singles
3144,Drama Mystery,1923,en,Twin Peaks: Fire Walk with Me
3145,Comedy Drama,10158,en,White Men Cant Jump
3146,Action Comedy Horror,10206,en,Buffy the Vampire Slayer
3147,Action Thriller Crime,11782,cn,Hard Boiled
3148,Comedy Crime Drama Horror,10086,fr,Man Bites Dog
3149,Action Crime Thriller,9367,es,El Mariachi
3150,Action Comedy,9876,en,Stop! Or My Mom Will Shoot
3151,Adventure Fantasy Drama Science Fiction Romance,10326,en,Forever Young
3152,Comedy Drama Romance,16562,en,The Cutting Edge
3153,Drama,9609,en,Of Mice and Men
3154,Crime Drama,12143,en,Bad Lieutenant
3155,Horror Mystery,4234,en,Scream 3
3156,Thriller,9605,en,Single White Female
3157,Action Thriller Crime,8374,en,The Boondock Saints
3158,Action Comedy Romance Thriller,29076,en,Gun Shy
3159,Drama Foreign,80471,en,Beloved/Friend
3160,Documentary,49477,en,Gendernauts: A Journey Through Shifting Identities
3161,Drama Action,121940,en,Knockout
3162,Horror Thriller,28156,en,The Baby
3163,Documentary,113096,en,The Brandon Teena Story
3164,Comedy Foreign,106837,en,Different for Girls
3165,Drama Romance Comedy,24349,en,Minnie and Moskowitz
3166,Comedy Mystery Thriller,27841,en,They Might Be Giants
3167,Drama Adventure Romance Thriller,1907,en,The Beach
3168,Comedy Family,15489,en,Snow Day
3169,Animation Family,15655,en,The Tigger Movie
3170,Drama Foreign,68546,en,Cotton Mary
3171,Drama,36210,zh,Not One Less
3172,Comedy,279444,en,Soft Toilet Seats
3173,Drama Thriller Romance,77908,en,Trois
3174,Drama Action Thriller Crime Mystery,22342,en,The Big Combo
3175,Science Fiction Drama Fantasy,96484,en,Conceiving Ada
3176,Horror,30062,en,Eaten Alive
3177,Comedy Drama,62463,en,Raining Stones
3178,Drama,25934,en,"To Sir, with Love"
3179,Documentary,101383,en,With Byrd at the South Pole
3180,Crime Drama Thriller,14181,en,Boiler Room
3181,Comedy Drama,10385,en,Hanging Up
3182,Thriller Science Fiction Action,2787,en,Pitch Black
3183,Comedy Crime,2069,en,The Whole Nine Yards
3184,War Comedy Drama,61416,en,Beautiful People
3185,Documentary,79515,en,Black Tar Heroin: The Dark End of the Street
3186,Drama Crime,14839,en,Blue Collar
3187,Mystery Thriller,42186,en,Bluebeard
3188,Comedy Drama,28978,en,The Circus
3189,Comedy Drama Romance,901,en,City Lights
3190,Comedy Drama Romance,25010,en,The Flamingo Kid
3191,Comedy,36208,xx,A Dogs Life
3192,Comedy Drama,10098,en,The Kid
3193,Western,18264,en,The Man from Laramie
3194,Romance Drama,291861,en,The Wild McCullochs
3195,Comedy,33374,en,Class Reunion
3196,Romance Western,43368,en,The Big Trees
3197,Music Romance Comedy,127602,en,Happy Go Lovely
3198,Thriller,2155,en,Reindeer Games
3199,Comedy Drama,11004,en,Wonder Boys
3200,Action Drama Mystery Thriller,25212,en,Deterrence
3201,Comedy Drama,36048,en,Judy Berlin
3202,Romance Comedy Drama,139,da,Mifune
3203,Comedy,210307,en,The Waiting Game
3204,Action Comedy Romance,47816,en,3 Strikes
3205,Action Comedy Crime,20682,en,Chain of Fools
3206,Comedy Crime Mystery,25166,en,Drowning Mona
3207,Comedy,1831,en,The Next Best Thing
3208,Comedy Drama Romance Science Fiction,10416,en,What Planet Are You From?
3209,Documentary,14271,en,Beyond the Mat
3210,Crime Drama,4816,en,Ghost Dog: The Way of the Samurai
3211,Drama Foreign Romance,19958,en,The Year My Voice Broke
3212,Drama Romance,28569,en,Splendor in the Grass
3213,Comedy Drama Romance,2193,en,My Tutor
3214,Family Adventure,64871,en,The Legend of Lobo
3215,Comedy Drama,54575,en,The Killing of Sister George
3216,Crime Drama Thriller,11016,en,Key Largo
3217,Action Crime Thriller,23020,en,Jail Bait
3218,War Drama,54195,en,It Happened Here
3219,Comedy Drama,139058,en,Ill Never Forget Whatsisname
3220,Documentary,20423,en,For All Mankind
3221,Drama Action History War,10839,en,Cross of Iron
3222,Horror Science Fiction,36489,en,Bride of the Monster
3223,Comedy Romance Drama,24481,en,Born Yesterday
3224,Drama History,11296,en,Birdy
3225,Comedy Drama Romance,61651,en,And God Created Woman
3226,Horror,28172,en,Blood Feast
3227,Adventure Family,57855,en,"Charlie, the Lonesome Cougar"
3228,Horror,28180,en,Color Me Blood Red
3229,Action Adventure Drama,14280,en,Never Cry Wolf
3230,Crime Horror,72086,en,The Night Visitor
3231,Comedy,149687,en,The Perils of Pauline
3232,Romance Drama,29478,en,A Raisin in the Sun
3233,Horror,28177,en,Two Thousand Maniacs!
3234,Drama Action Thriller Mystery,64166,en,Browns Requiem
3235,Comedy Romance Foreign,73642,en,The Closer You Get
3236,Science Fiction,2067,en,Mission to Mars
3237,Horror Mystery Thriller,622,en,The Ninth Gate
3238,Documentary,110666,en,Condo Painting
3239,Drama,28463,fr,East/West
3240,Fantasy Drama Comedy,12186,en,Defending Your Life
3241,Drama Comedy,20283,en,Breaking Away
3242,Drama Family,5693,en,Hoosiers
3243,Comedy Romance,287,en,Bull Durham
3244,Crime Drama Thriller,968,en,Dog Day Afternoon
3245,Comedy Drama,838,en,American Graffiti
3246,Action Crime Drama Thriller,16958,en,The Asphalt Jungle
3247,Western,3114,en,The Searchers
3248,War Action,31938,en,The Devils Brigade
3249,Drama Western Romance,12501,en,The Big Country
3250,Romance Crime Drama,22650,fr,Any Number Can Win
3251,Action Drama Romance Thriller,31618,en,Betrayed
3252,Music,42232,en,Bound for Glory
3253,Action History War,15873,en,The Bridge at Remagen
3254,Action Comedy Western,26928,en,Buck and the Preacher
3255,Drama Romance,68427,en,Daughters of the Dust
3256,Science Fiction,25392,en,Destination Moon
3257,,67455,fr,The Fantastic Night
3258,Drama History Thriller War,22178,en,Hangmen Also Die!
3259,Drama,48213,de,The Ogre
3260,Science Fiction Drama Romance,35412,en,On the Beach
3261,Drama Thriller,43463,en,Railroaded!
3262,Comedy Music Drama,59939,en,Slaves to the Underground
3263,,159727,en,Song of Freedom
3264,,244151,en,Big Fella
3265,Action Adventure Crime Thriller,8333,en,The Taking of Pelham One Two Three
3266,Comedy,19259,en,Volunteers
3267,Drama Thriller History,820,en,JFK
3268,Comedy Crime Mystery,11718,en,Whos Harry Crumb?
3269,Comedy Family Fantasy,8989,en,Harry and the Hendersons
3270,Action Adventure,32031,en,Lets Get Harry
3271,Adventure,58048,en,Shanghai Surprise
3272,Comedy,26827,en,Whos That Girl
3273,Comedy,11157,en,She-Devil
3274,Comedy Fantasy Romance Science Fiction,28370,en,Date With an Angel
3275,Comedy Romance,918,en,Blind Date
3276,Action Comedy Romance,61178,en,Nadine
3277,Adventure Comedy Family,11176,en,The Muppet Movie
3278,Crime Family Comedy,14900,en,The Great Muppet Caper
3279,Romance Comedy Family,11899,en,The Muppets Take Manhattan
3280,Adventure Comedy Family Music,36536,en,Sesame Street Presents Follow That Bird
3281,Animation Science Fiction Family,18890,en,Were Back! A Dinosaurs Story
3282,Adventure Fantasy Action Science Fiction Family,19736,en,Baby: Secret of the Lost Legend
3283,Romance Comedy Drama,123047,en,Turtle Diary
3284,Action Drama Thriller,24575,en,Raise the Titanic
3285,Drama Action Romance,16535,en,Titanic
3286,Drama Action History,10971,en,A Night to Remember
3287,War Action Adventure Drama,23928,en,Captain Horatio Hornblower R.N.
